332,BIJELA 01630 NK     ,18000,2120000,940000
333,0210SG Sjaj Crveni  ,19000,2800000,592000
334,DIJAMANT 1570       ,19000,2070000,960000
335,Hr Sono Svje 34038AT,19000,2800000,1050000
336,BIJELI GL 1500S     ,19000,2070000,590000
337,BIJELI NK 1500P     ,19000,1790000,840000
338,Krist Bijela 27018DP,19000,2800000,800000
339,Wenge Gondou 37710BS,19000,1610000,1000000
340,HRAST PJESCANI 37849,19000,400000,2070000
341,RUBY CRVENI 318FH   ,19000,2800000,780000
342,Bor Kodiak 34308AT  ,19000,2800000,1020000
344,Limun Zeleni 25519BS,19000,2390000,690000
345,HRAST NATUR GR 37511,19000,2800000,870000
346,Platin Sivi 27193PE ,19000,2070000,940000
347,LAVARE 37744        ,19000,2410000,520000
348,0077SG Sjaj Grafit  ,19000,2050000,590000
349,SLONOVACA 2514      ,19000,2070000,1040000
350,LAVANDA 27187       ,19000,2070000,490000
351,HRAST TOBACCO 34138R,19000,2800000,786000
352,ARTIC W SJAJ 606SG  ,19000,1480000,880000
353,Krist Bijela 27018DP,19000,2800000,1000000
354,VIOLET PLAVI 27186  ,19000,1600000,400000
355,0650SG Sjaj Limun   ,19000,1450000,760000
356,Hr Prirodni 37307PR ,19000,2800000,1179500
357,BIJELI GOD FUNDER   ,19000,2820000,530000
358,BIJELI 1615 FH FUND ,19000,2800000,660000
359,Skin 20240NM        ,19000,600000,1690500
360,0315SG Sjaj Krem    ,19000,2800000,760000
361,MASLINA 37762       ,19000,2800000,570000
362,Oksid 34321DP       ,19000,2800000,483500
363,Smreka Barth K4338AT,19000,2800000,816000
364,BIJELI 1615 FH FUND ,19000,2070000,820000
365,BIJELI NK 1500P     ,16000,2800000,1374000
366,SVJETLO SIVI 2112   ,19000,2070000,620000
367,Njezno Zelen 27178BS,19000,1945500,550000
368,PLANINSKI BOR FUNDER,19000,1720000,410000
369,RUBY CRVENI 318FH   ,19000,2820000,800000
370,BIJELI GOD FUNDER   ,19000,2080000,600000
